Brand,url,title,Network,Price,doc_id,raw_html,Condition,Model,Memory,Bundled Items
Samsung,"https://www.bonanza.com/listings/Samsung-SCH-A870-Portable-Dualband-Tri-mode-Silver-Flip-Phone-Verizon-/494500950?st_id=61696335
",Samsung SCH-A870 Portable Dualband Tri-mode Silver Flip Phone (Verizon),Verizon,19.79,1,.,fair, Focus 2,1.0,
Samsung,"https://www.bonanza.com/listings/-4K-SAMSUNG-T-Mobile-Gravity-Slide-PHONE-WORKS-Great-/497922435?st_id=61696335
",#4K/SAMSUNG T MOBILE GRAVITY SLIDE PHONE/WORKS GREAT!,Unlocked,18.76,2,.,fair,tmobile,16.0,
Samsung,"https://www.bonanza.com/listings/Samsung-T404g-Phone-with-Case-and-Charger-Bundle-NO-SIM/473934670?st_id=61696335
",Samsung T404g Phone with Case and Charger Bundle NO SIM,Unlocked,14.01,3,.,fair, Focus 2,1.0,Case
Samsung,"https://www.bonanza.com/listings/Samsung-Cell-Phone-Sm-g920a/502061192?st_id=61696335
",Samsung Cell Phone Sm-g920a,Unlocked,199.0,4,.,fair, Galaxy S6,64,
Samsung,"https://www.bonanza.com/listings/Tmobile-Samsung-Slider-Cell-Phone-Blue-T249/426404442?st_id=61696335
",TMOBILE SAMSUNG SLIDER CELL PHONE BLUE T249,T-Mobile,3.99,5,.,fair,T249,8.0,Extra Cable(s)
Samsung,"https://www.bonanza.com/listings/Samsung-Convoy-3-SCH-U680-Verizon-Black-Rugged-Military-Designed-Flip-Phone/499160105?st_id=61696335
",Samsung Convoy 3 SCH-U680 Verizon Black Rugged Military Designed Flip Phone,Verizon,25,6,.,fair,convoy3,16.0,
Samsung,"https://www.bonanza.com/listings/Pre-Owned-Samsung-X426-Flip-Cell-Phone/471519956?st_id=61696335
",Pre-Owned Samsung X426 Flip Cell Phone,Unlocked,12.87,7,.,fair,x426,8.0,
Samsung,"https://www.bonanza.com/listings/Pre-Owned-AT-T-Samsung-X426-Flip-Cell-Phone/481606901?st_id=61696335
",Pre-Owned AT& T Samsung X426 Flip Cell Phone,Unlocked,12.87,8,.,fair,x426,8.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Solstice-SGH-A887-Black-and-Silver-AT-T-Cellular-3G-Phone/517300530?st_id=61696335
",Samsung Solstice SGH-A887 - Black and Silver (AT&T) Cellular 3G Phone,AT&T,15.84,9,.,fair, Solstice,16.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-Rugby-Pro-SGH-I547-AT-T-Smartphone-with-USB-cable/524398572?st_id=61696335
",Samsung Galaxy Rugby Pro SGH-I547 (AT&T) Smartphone with USB cable,AT&T,44,10,.,fair,Galaxy Rugby,16.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S6-Active-SM-G890A-32GB-Gray-AT-T-Unlocked-Burn-Image/489380691?st_id=61696335
",Samsung Galaxy S6 Active SM-G890A - 32GB - Gray (AT&T) Unlocked - Burn Image,Unlocked,129.95,11,.,fair, Galaxy S6,64.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Cell-Phone-Sm-g930/502066206?st_id=61696335
",Samsung Cell Phone Sm-g930,Unlocked,329.0,12,.,fair, Galaxy S7,32,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-s5-mini-Charcoal-black-16-GB/502239880?st_id=61696335
",Samsung Galaxy s5 mini Charcoal black. 16 GB,Unlocked,120.0,14,.,fair,Galaxy S5,16,
Samsung,"https://www.bonanza.com/listings/Pre-Owned-Sprint-PCS-Samsung-SPH-A460-Flip-Cell-Phone/498952958?st_id=61696335
",Pre-Owned Sprint PCS Samsung SPH-A460 Flip Cell Phone,Sprint,14.85,15,.,fair,SPH-A460,16.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S5-SM-G900A-16GB-AT-T-Unlocked-Smartphone/530719952?st_id=61696335
",Samsung Galaxy S5 SM-G900A - 16GB - AT&T (Unlocked) Smartphone,Unlocked,94.5,16,.,fair, Galaxy S5,16,
Samsung,"https://www.bonanza.com/listings/Samsung-Seek-SPH-M330-White-Sprint-Cellular-Phone/530072189?st_id=61696335
",Samsung Seek SPH-M330 - White (Sprint) Cellular Phone,Sprint,10.76,17,.,fair, Focus 2,1.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-Note-4-SM-N910V-32GB-White-Verizon-and-GSM-Unlocked-case/462460479?st_id=61696335
",Samsung Galaxy Note 4 SM-N910V - 32GB - White (Verizon and GSM Unlocked) case,Unlocked,197.99,18,.,fair, Galaxy Note 4,32,"Adapter, Cable"
Samsung,"https://www.bonanza.com/listings/Excellent-Mint-Conditioned-O-Gray-Straight-Talk-Samsung-S8-Plus-More-/529029751?st_id=61696335
",Excellent Mint Conditioned O Gray Straight Talk Samsung S8 Plus & More!!,Unlocked,574.99,19,.,fair,Galaxy S8 Plus,64,
Samsung,"https://www.bonanza.com/listings/Very-Good-Conditioned-Excellent-Black-T-mobile-Samsung-S8-Plus-More-/528988311?st_id=61696335
",Very Good Conditioned Excellent Black T-mobile Samsung S8 Plus & More!!,T-Mobile,534.99,20,.,fair,Galaxy S8 Plus,64,
Samsung,"https://www.bonanza.com/listings/Gold-Samsung-Galaxy-S7-G930T-T-MOBILE-Metro-Pcs-Straight-Talk-Great-9-10-9000/513877087?st_id=61696335
",GOLD SAMSUNG GALAXY S7 G930T T-MOBILE METRO PCS STRAIGHT TALK GREAT 9/10 9000,T-Mobile,229.0,21,.,fair, Galaxy S7,32,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S6-Edge-Plus-64GB-Gold-Unlocked-AT-T-T-Mobile-Phone-Lcd-Ghost/528579120?st_id=61696335
",Samsung Galaxy S6 Edge Plus 64GB Gold Unlocked AT&T T-Mobile Phone Lcd Ghost,Unlocked,237.55,22,.,fair,Galaxy S6 Edge Plus,64,"Adaptor, Cable"
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S4-16GB-4G-LTE-SHV-E300-I9500-Unlocked-Smartphone-White/470157646?st_id=61696335
",Samsung Galaxy S4 16GB 4G LTE SHV-E300 (I9500) Unlocked Smartphone White,Unlocked,288.32,23,.,fair, Galaxy S4,16,
Samsung,"https://www.bonanza.com/listings/Samsung-Blackjack-SGH-i617-White-AT-T-Smartphone-Very-Good-Condition-/528646637?st_id=61696335
",Samsung Blackjack SGH-i617 - White (AT&T) Smartphone * Very Good Condition *,AT&T,14.68,24,.,fair, Focus 2,1.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S6-SM-G920V-64GB-Verizon-Factory-Unlocked-LTE-Smartphone-White/528700635?st_id=61696335
",Samsung Galaxy S6 SM-G920V 64GB Verizon Factory Unlocked LTE Smartphone White,Unlocked,138.55,25,.,fair, Galaxy S6,64,
Samsung,"https://www.bonanza.com/listings/Samsung-Clamshell-Flip-Phone-Sch-U-365-Tested-Clean-Esn/530912946?st_id=61696335
",Samsung Clamshell Flip Phone Sch - U 365 Tested Clean Esn,Unlocked,14.8,26,.,fair, Focus 2,1.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Repp-SCH-R680-Red-Revol-Wireless-Smartphone-Very-Good-Condition-/528646640?st_id=61696335
",Samsung Repp SCH-R680 - Red (Revol Wireless) Smartphone * Very Good Condition *,Unlocked,14.68,27,.,fair,Repp SCH-R680,32,
Samsung,"https://www.bonanza.com/listings/Verizon-Wireless-Samsung-Smooth-Camera-Phone-Cell-2009/530831999?st_id=61696335
",Verizon Wireless Samsung Smooth Camera Phone Cell 2009,Verizon,12.24,28,.,fair,Smooth,8.0,
Samsung,"https://www.bonanza.com/listings/mint-Samsung-Galaxy-S6-Edge-32GB-black-SM-G925T-Unlocked-GSM-T-Mobile-4G-Android/462310596?st_id=61696335
",mint Samsung Galaxy S6 Edge 32GB black SM-G925T Unlocked GSM T-Mobile 4G Android,Unlocked,289.0,29,.,fair, Galaxy S6 edge,32,
Samsung,"https://www.bonanza.com/listings/Lot-Of-5-Gold-Samsung-Galaxy-S7-G930T-T-MOBILE-Metro-Pcs-Straight-Talk-Great/514204632?st_id=61696335
",LOT OF 5 GOLD SAMSUNG GALAXY S7 G930T T-MOBILE METRO PCS STRAIGHT TALK GREAT,T-Mobile,1120.0,31,.,fair, Galaxy S7,32,
Samsung,"https://www.bonanza.com/listings/Minty-Cool-Arctic-Silver-Unlocked-AT-T-64gb-Samsung-S8-More-/529512549?st_id=61696335
",Minty Cool Arctic Silver Unlocked AT&T 64gb Samsung S8 & More!!,Unlocked,533.99,32,.,fair,Galaxy S8,64,
Samsung,"https://www.bonanza.com/listings/Samsung-Verizon-Cell-Phone-Portable-Dualband-Gray-Black-SCH-U410/499940645?st_id=61696335
",Samsung Verizon Cell Phone Portable Dualband Gray/Black SCH-U410,Verizon,28.34,33,.,fair,SCH-U410,16.0,
Samsung,"https://www.bonanza.com/listings/Samsung-Galaxy-S5-SM-G900VKV-16GB-Chrome-Trim-Verizon-w-Charging-Cable/527195322?st_id=61696335
",Samsung Galaxy S5 SM-G900VKV 16GB Chrome Trim Verizon w/Charging Cable,Verizon,102.85,34,.,fair, Galaxy S5,16,
Samsung,"https://www.bonanza.com/listings/Excellent-Near-Mint-Samsung-Galaxy-S8-OGray-T-Mobile-Smartphone-w-256gb-More/527564255?st_id=61696335
",Excellent Near-Mint Samsung Galaxy S8 OGray (T-Mobile) Smartphone w 256gb & More,T-Mobile,534.99,35,.,fair,Galaxy S8 Plus,64,
Samsung,"https://www.bonanza.com/listings/Samsung-Convoy-3-SCH-U680-Gray-Verizon-Cellular-Phone-Excellent-Condition-/529227609?st_id=61696335
",Samsung Convoy 3 SCH-U680 - Gray (Verizon) Cellular Phone *Excellent Condition*,Verizon,27.42,36,.,fair, Convoy 3,32,
