Price,Mobile OS,Title,Memory,Carrier,Brand,Condition,Model,Description,,,,,,
50,Android,Samsung Galaxy SII Epic Smart Phone Smartphone for Sprint + MVNOs,,Sprint,Samsung,good,Galaxy SII Epic Touch,,,,,,,
325,Apple Ios,"iPhone SE, 128gb, space gray",128,unlocked,Apple,new,iPhone SE,,,,,,,
850,Android,"NIB Note 8 (TMobile) [SMN950U], Black, 64 GB",,T-mobile,Samsung,,SM-N950U,,,,,,,
379,Android,Blue TMobile Samsung Galaxy S7 Edge Unused,,T-mobile,Samsung,like new,Galaxy S7 Edge,,,,,,,
35,Other, Nokia Lumia 521 White Tmobile Cell Phone,,T-mobile,Nokia,,Lumia 521,,,,,,,
175,Android,"Samsung Galaxy S6, G920 32GB",,unlocked,Samsung,,Galaxy S6,,,,,,,
550,Android,Samsung S8 PLUS unlocked for any carrier 64GB,64,unlocked,Samsung,like new,SM-G955U,,,,,,,
70,Other,Motorola Triumph Virgin Mobile Smart Phone Cell Phone  in box,,unlocked,Motorola,,Triumph Virgin,,,,,,,
40,Other,  Unnecto Quattro X U611 Black Smartphone tmobile gsm at&t,,AT&T,Unnecto,new,Quattro X,,,,,,,
45,Other,Kyocera Hydro Life C6530N 4G Black  Metro PCS,,unlocked,Kyocera,,Hydro Life,,,,,,,
125,Android,Samsung Galaxy S4,,unlocked,Samsung,excellent,Galaxy S4,,,,,,,
50,Apple Ios,iPhone 6 clean imei,,unlocked,Apple,,6 clean,,,,,,,
120,Android,"Nexus 5 (, White, 32gb Storage) $120 OBO",32,unlocked,Lg,like new,D820,,,,,,,
349,Apple Ios,Apple iPhone 6 64GB Verizon Wireless *IN WEST LA! * LIKE NEW !! PERFEC,64,Verizon,Apple,like new,iPhone 6 64GB,,,,,,,1
349,Apple Ios,Apple iPhone 6 64GB Verizon Wireless *IN WEST LA! * LIKE NEW !! PERFEC,64,Verizon,Apple,like new,iPhone 6 64GB,,,,,,,
160,Android, Samsung Note 4 White ATT  with Flip    Case Flawless,,AT&T,Samsung,like new,Note 4,,,,,,,
600,Apple Ios,Apple iPhone 7 + Plus (AT&T) A1784  Jet Black 256gb,256,AT&T,Apple,,A1784,,,,,,,
550,Apple Ios,  Samsung S8+ Great Price  64gb Silver and B,64,unlocked,Samsung,new,S8+ Great,,,,,,,
240,Apple Ios,  iPhone SE 16gb Sim Free Verizon Space Gray$240,16,Verizon,Apple,new,SE 16gb,,,,,,,
240,Apple Ios,  iPhone SE 16gb Sim Free Verizon Space Gray$240,16,Verizon,Apple,new,SE 16gb,,,,,,,
60,Android,Samsung Galaxy S4 TMobile Android Smartphone Cellphone,,T-mobile,Samsung,good,S4,,,,,,,
65,Apple Ios,iPHONE AND iPAD BROKEN CRACKED SCREEN REPLACEMENT ON FOOTHILL,,unlocked,Apple,like new,AND iPAD,,,,,,,
