description,condition,memory,network,price,title,Model,Brand,OS,url,raw_content
B+ grade - used condition - will have some light scratches or scuffs - device only - 1 day handling,good,8,Unlocked,75,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/listing/XNM376/view,.
Fair: Fair Condition l Apple iPhone 5C Unlocked l 30 Day Warranty l Trusted Corporate Seller,Fair,8,Unlocked,80,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/buy/stock/5878/view,.
Fair: Fair Condition l Apple iPhone 5C Unlocked l 30 Day Warranty l Trusted Corporate Seller,Fair,8,Unlocked,80,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/buy/stock/5879/view,.
Apple iPhone 5C 16G|Unlocked|Trusted Seller|Blue|Good Condition|Full Accessories|Fast Shipping,good,16,Unlocked,84,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/listing/NPU685/view,.
Apple iPhone 5c - 8GB - Pink (ATT) GSM Unlocked,good,8,Unlocked,85,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/listing/TQL455/view,.
"TEMPERED GLASS, CHARGING CABLE, & EARPHONES INCLUDED FAST SHIPPING",Fair,8,Unlocked,85,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/listing/SYL694/view,.
Fair: Fair Condition l Apple iPhone 5C Unlocked l 30 Day Warranty l Trusted Corporate Seller,Fair,16,Unlocked,90,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/buy/stock/5624/view,.
Fair: Fair Condition l Apple iPhone 5C Unlocked l 30 Day Warranty l Trusted Corporate Seller,Fair,16,Unlocked,90,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/buy/stock/5629/view,.
Apple iPhone 5C 16G|Unlocked|Trusted Seller|White|Near Mint Condition|Full Accessories|Fast Shipping,good,16,Unlocked,95,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/listing/NWM379/view,.
Good condition with light wears,good,16,Unlocked,95,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/buy/stock/1392/view,.
Fair: Fair Condition l Apple iPhone 5C Unlocked l 30 Day Warranty l Trusted Corporate Seller,Fair,8,Unlocked,100,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/buy/stock/5963/view,.
Apple iPhone 6 Plus - A1522 - UL - 16GB - FF,Fair,16,Unlocked,100,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/listing/NRM731/view,.
Fair: Fair Condition l Apple iPhone 5c Unlocked l 30 Day Warranty l Trusted Corporate Seller,Fair,32,Unlocked,110,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/buy/stock/6750/view,.
Fair: Fair Condition l Apple iPhone 5c Unlocked l 30 Day Warranty l Trusted Corporate Seller,Fair,32,Unlocked,110,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/buy/stock/6753/view,.
Fair: Fair Condition l Apple iPhone 5C Unlocked l 30 Day Warranty l Trusted Corporate Seller,Fair,32,Unlocked,110,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/buy/stock/6749/view,.
Unlocked - Works on ALL GSM Networks - Fast & Free Shipping,good,8,Unlocked,115,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/buy/stock/5522/view,.
Unlocked - Works on ALL GSM Networks - Fast & Free Shipping,good,16,Unlocked,139,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/buy/stock/5526/view,.
Apple iPhone 5C 32G|Unlocked|Trusted Seller|Blue|Near Mint Condition|Full Accessories|Fast Shipping,good,32,Unlocked,105,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/listing/JKZ955/view,.
Apple iPhone 5C 16G|Unlocked|Trusted Seller|White|Good Condition|Full Accessories|Fast Shipping,good,16,Unlocked,84,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/listing/WXD599/view,.
Apple iPhone 5C (Unlocked) [A1532] - Blue - 32GB - Good - SHIPS TODAY!,good,32,Unlocked,105,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/listing/ZFI230/view,.
iPhone 5c 32gb,Fair,32,Unlocked,75,Apple iPhone 5C (Unlocked) [A1532],iPhone 5C,Apple,iOS,https://swappa.com/listing/GSQ756/view,.
